iter	Passed	Remaining
0	132	13094
1	132	6513
2	133	4319
3	134	3218
4	134	2558
5	135	2119
6	135	1804
7	136	1567
8	136	1383
9	137	1236
10	138	1123
11	139	1023
12	140	938
13	140	864
14	141	800
15	141	744
16	142	695
17	143	651
18	143	612
19	144	576
20	144	544
21	145	515
22	145	488
23	146	464
24	147	441
25	147	420
26	148	400
27	148	382
28	149	365
29	149	349
30	150	333
31	150	319
32	150	306
33	151	293
34	151	282
35	152	270
36	152	260
37	153	250
38	153	240
39	154	231
40	155	223
41	155	214
42	155	206
43	156	199
44	156	191
45	157	184
46	157	177
47	158	171
48	158	165
49	159	159
50	159	153
51	159	147
52	160	142
53	160	137
54	161	131
55	161	127
56	162	122
57	162	117
58	163	113
59	163	109
60	163	104
61	164	100
62	164	96
63	165	92
64	165	89
65	166	85
66	166	82
67	166	78
68	167	75
69	168	72
70	168	68
71	168	65
72	169	62
73	169	59
74	170	56
75	170	53
76	171	51
77	171	48
78	171	45
79	172	43
80	172	40
81	173	38
82	173	35
83	174	33
84	174	30
85	174	28
86	175	26
87	175	23
88	176	21
89	176	19
90	176	17
91	177	15
92	177	13
93	178	11
94	178	9
95	178	7
96	179	5
97	179	3
98	180	1
99	180	0
